seed_idx,episode,seed,reward,length,terminated,truncated
0,0,100000,131.05896055698418,50,False,True
0,1,100001,483.5207258164875,50,False,True
0,2,100002,386.9508461654181,50,False,True
0,3,100003,355.20846694707876,50,False,True
0,4,100004,352.82625049352635,50,False,True
0,5,100005,309.95089828968,50,False,True
0,6,100006,526.6838364303109,50,False,True
0,7,100007,473.12097981572106,50,False,True
0,8,100008,332.3568330705165,50,False,True
0,9,100009,261.0512720048428,50,False,True
0,10,100010,503.0796112120144,50,False,True
0,11,100011,271.86783939599974,50,False,True
0,12,100012,217.17012612223635,33,True,False
0,13,100013,631.7187783122056,50,False,True
0,14,100014,409.4007979333397,50,False,True
0,15,100015,328.26963841915097,50,False,True
0,16,100016,369.6958132088185,50,False,True
0,17,100017,492.0246630907053,50,False,True
0,18,100018,291.72633245587343,50,False,True
0,19,100019,337.03545555472346,50,False,True
1,0,101000,264.50357437133806,50,False,True
1,1,101001,470.513257235288,50,False,True
1,2,101002,674.5538881421083,50,False,True
1,3,101003,513.3552221953863,50,False,True
1,4,101004,272.8658773005009,50,False,True
1,5,101005,506.78657189011517,50,False,True
1,6,101006,573.817816972732,50,False,True
1,7,101007,552.1917544305319,50,False,True
1,8,101008,350.54266199469515,50,False,True
1,9,101009,190.51258607767545,50,False,True
1,10,101010,229.79076504707353,50,False,True
1,11,101011,576.2971492111675,50,False,True
1,12,101012,291.83223977684963,50,False,True
1,13,101013,593.7640772759909,50,False,True
1,14,101014,387.385767549276,50,False,True
1,15,101015,483.7905977666372,50,False,True
1,16,101016,491.10135138034764,50,False,True
1,17,101017,508.21356609463646,50,False,True
1,18,101018,468.05988147854737,50,False,True
1,19,101019,492.8388206660743,50,False,True
2,0,102000,428.11912983655884,50,False,True
2,1,102001,154.62793841958066,50,False,True
2,2,102002,374.080133140087,50,False,True
2,3,102003,553.5019271075721,50,False,True
2,4,102004,607.301563471555,50,False,True
2,5,102005,511.06961324810925,50,False,True
2,6,102006,594.2511238157743,50,False,True
2,7,102007,411.7816847562786,50,False,True
2,8,102008,592.3196029663079,50,False,True
2,9,102009,429.9956202507013,50,False,True
2,10,102010,638.0812898278231,50,False,True
2,11,102011,374.5726115256545,50,False,True
2,12,102012,385.1067519187921,50,False,True
2,13,102013,588.4470450878138,50,False,True
2,14,102014,326.761976480484,50,False,True
2,15,102015,367.35137209296175,50,False,True
2,16,102016,516.3413546979423,50,False,True
2,17,102017,205.87488286197205,50,False,True
2,18,102018,144.61611837148678,50,False,True
2,19,102019,514.0184780955311,50,False,True
